orderNumber,orderLineNumber,productLine,productCode,productName,productScale,buyPrice,MSRP,quantityOrdered,priceEach,orderDate,requiredDate,shippedDate,OrderStatus,daysEarly
10100,3,"Vintage Cars",S18_1749,"1917 Grand Touring Sedan",1:18,86.70,170.00,30,136.00,2003-01-06,2003-01-13,2003-01-10,Shipped,3
10100,2,"Vintage Cars",S18_2248,"1911 Ford Town Car",1:18,33.30,60.54,50,55.09,2003-01-06,2003-01-13,2003-01-10,Shipped,3
10100,4,"Vintage Cars",S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",1:18,43.26,92.03,22,75.46,2003-01-06,2003-01-13,2003-01-10,Shipped,3
10100,1,"Vintage Cars",S24_3969,"1936 Mercedes Benz 500k Roadster",1:24,21.75,41.03,49,35.29,2003-01-06,2003-01-13,2003-01-10,Shipped,3
10101,4,"Vintage Cars",S18_2325,"1932 Model A Ford J-Coupe",1:18,58.48,127.13,25,108.06,2003-01-09,2003-01-18,2003-01-11,Shipped,7
10101,1,"Vintage Cars",S18_2795,"1928 Mercedes-Benz SSK",1:18,72.56,168.75,26,167.06,2003-01-09,2003-01-18,2003-01-11,Shipped,7
10101,3,"Vintage Cars",S24_1937,"1939 Chevrolet Deluxe Coupe",1:24,22.57,33.19,45,32.53,2003-01-09,2003-01-18,2003-01-11,Shipped,7
10101,2,"Vintage Cars",S24_2022,"1938 Cadillac V-16 Presidential Limousine",1:24,20.61,44.80,46,44.35,2003-01-09,2003-01-18,2003-01-11,Shipped,7
10102,2,"Vintage Cars",S18_1342,"1937 Lincoln Berline",1:18,60.62,102.74,39,95.55,2003-01-10,2003-01-18,2003-01-14,Shipped,4
10102,1,"Vintage Cars",S18_1367,"1936 Mercedes-Benz 500K Special Roadster",1:18,24.26,53.91,41,43.13,2003-01-10,2003-01-18,2003-01-14,Shipped,4
10103,11,"Classic Cars",S10_1949,"1952 Alpine Renault 1300",1:10,98.58,214.30,26,214.30,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,4,"Classic Cars",S10_4962,"1962 LanciaA Delta 16V",1:10,103.42,147.74,42,119.67,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,8,"Trucks and Buses",S12_1666,"1958 Setra Bus",1:12,77.90,136.67,27,121.64,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,10,"Trucks and Buses",S18_1097,"1940 Ford Pickup Truck",1:18,58.33,116.67,35,94.50,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,2,"Trucks and Buses",S18_2432,"1926 Ford Fire Engine",1:18,24.92,60.77,22,58.34,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,12,"Vintage Cars",S18_2949,"1913 Ford Model T Speedster",1:18,60.78,101.31,27,92.19,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,14,"Vintage Cars",S18_2957,"1934 Ford V8 Coupe",1:18,34.35,62.46,35,61.84,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,13,"Vintage Cars",S18_3136,"18th Century Vintage Horse Carriage",1:18,60.74,104.72,25,86.92,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,16,"Vintage Cars",S18_3320,"1917 Maxwell Touring Car",1:18,57.54,99.21,46,86.31,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,5,"Trucks and Buses",S18_4600,"1940s Ford truck",1:18,84.76,121.08,36,98.07,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,9,"Vintage Cars",S18_4668,"1939 Cadillac Limousine",1:18,23.14,50.31,41,40.75,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,1,"Trucks and Buses",S24_2300,"1962 Volkswagen Microbus",1:24,61.34,127.79,36,107.34,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,15,"Vintage Cars",S24_4258,"1936 Chrysler Airflow",1:24,57.46,97.39,25,88.62,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,3,"Trucks and Buses",S32_1268,"1980’s GM Manhattan Express",1:32,53.93,96.31,31,92.46,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,7,"Trucks and Buses",S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",1:32,33.61,64.64,45,63.35,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10103,6,"Classic Cars",S700_2824,"1982 Camaro Z28",1:18,46.53,101.15,42,94.07,2003-01-29,2003-02-07,2003-02-02,Shipped,5
10104,1,"Classic Cars",S12_3148,"1969 Corvair Monza",1:18,89.14,151.08,34,131.44,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,9,"Trucks and Buses",S12_4473,"1957 Chevy Pickup",1:12,55.70,118.50,41,111.39,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,8,"Classic Cars",S18_2238,"1998 Chrysler Plymouth Prowler",1:18,101.51,163.73,24,135.90,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,12,"Trucks and Buses",S18_2319,"1964 Mercedes Tour Bus",1:18,74.86,122.73,29,122.73,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,13,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,23,165.95,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,3,"Classic Cars",S18_4027,"1970 Triumph Spitfire",1:18,91.92,143.62,38,119.20,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,6,"Classic Cars",S24_1444,"1970 Dodge Coronet",1:24,32.37,57.80,35,52.02,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,10,"Classic Cars",S24_2840,"1958 Chevy Corvette Limited Edition",1:24,15.91,35.36,44,30.41,2003-01-31,2003-02-09,2003-02-01,Shipped,8
10104,5,"Classic Cars",S24_4048,"1992 Porsche Cayenne Turbo Silver",1:24,69.78,118.28,26,106.45,2003-01-31,2003-02-09,2003-02-01,Shipped,8
