orderNumber,orderLineNumber,productLine,productCode,productName,productScale,buyPrice,MSRP,quantityOrdered,priceEach
10100,3,"Vintage Cars",S18_1749,"1917 Grand Touring Sedan",1:18,86.70,170.00,30,136.00
10100,2,"Vintage Cars",S18_2248,"1911 Ford Town Car",1:18,33.30,60.54,50,55.09
10100,4,"Vintage Cars",S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",1:18,43.26,92.03,22,75.46
10100,1,"Vintage Cars",S24_3969,"1936 Mercedes Benz 500k Roadster",1:24,21.75,41.03,49,35.29
10101,4,"Vintage Cars",S18_2325,"1932 Model A Ford J-Coupe",1:18,58.48,127.13,25,108.06
10101,1,"Vintage Cars",S18_2795,"1928 Mercedes-Benz SSK",1:18,72.56,168.75,26,167.06
10101,3,"Vintage Cars",S24_1937,"1939 Chevrolet Deluxe Coupe",1:24,22.57,33.19,45,32.53
10101,2,"Vintage Cars",S24_2022,"1938 Cadillac V-16 Presidential Limousine",1:24,20.61,44.80,46,44.35
10102,2,"Vintage Cars",S18_1342,"1937 Lincoln Berline",1:18,60.62,102.74,39,95.55
10102,1,"Vintage Cars",S18_1367,"1936 Mercedes-Benz 500K Special Roadster",1:18,24.26,53.91,41,43.13
10103,11,"Classic Cars",S10_1949,"1952 Alpine Renault 1300",1:10,98.58,214.30,26,214.30
10103,4,"Classic Cars",S10_4962,"1962 LanciaA Delta 16V",1:10,103.42,147.74,42,119.67
10103,8,"Trucks and Buses",S12_1666,"1958 Setra Bus",1:12,77.90,136.67,27,121.64
10103,10,"Trucks and Buses",S18_1097,"1940 Ford Pickup Truck",1:18,58.33,116.67,35,94.50
10103,2,"Trucks and Buses",S18_2432,"1926 Ford Fire Engine",1:18,24.92,60.77,22,58.34
10103,12,"Vintage Cars",S18_2949,"1913 Ford Model T Speedster",1:18,60.78,101.31,27,92.19
10103,14,"Vintage Cars",S18_2957,"1934 Ford V8 Coupe",1:18,34.35,62.46,35,61.84
10103,13,"Vintage Cars",S18_3136,"18th Century Vintage Horse Carriage",1:18,60.74,104.72,25,86.92
10103,16,"Vintage Cars",S18_3320,"1917 Maxwell Touring Car",1:18,57.54,99.21,46,86.31
10103,5,"Trucks and Buses",S18_4600,"1940s Ford truck",1:18,84.76,121.08,36,98.07
10103,9,"Vintage Cars",S18_4668,"1939 Cadillac Limousine",1:18,23.14,50.31,41,40.75
10103,1,"Trucks and Buses",S24_2300,"1962 Volkswagen Microbus",1:24,61.34,127.79,36,107.34
10103,15,"Vintage Cars",S24_4258,"1936 Chrysler Airflow",1:24,57.46,97.39,25,88.62
10103,3,"Trucks and Buses",S32_1268,"1980’s GM Manhattan Express",1:32,53.93,96.31,31,92.46
10103,7,"Trucks and Buses",S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",1:32,33.61,64.64,45,63.35
10103,6,"Classic Cars",S700_2824,"1982 Camaro Z28",1:18,46.53,101.15,42,94.07
10104,1,"Classic Cars",S12_3148,"1969 Corvair Monza",1:18,89.14,151.08,34,131.44
10104,9,"Trucks and Buses",S12_4473,"1957 Chevy Pickup",1:12,55.70,118.50,41,111.39
10104,8,"Classic Cars",S18_2238,"1998 Chrysler Plymouth Prowler",1:18,101.51,163.73,24,135.90
10104,12,"Trucks and Buses",S18_2319,"1964 Mercedes Tour Bus",1:18,74.86,122.73,29,122.73
10104,13,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,23,165.95
10104,3,"Classic Cars",S18_4027,"1970 Triumph Spitfire",1:18,91.92,143.62,38,119.20
10104,6,"Classic Cars",S24_1444,"1970 Dodge Coronet",1:24,32.37,57.80,35,52.02
10104,10,"Classic Cars",S24_2840,"1958 Chevy Corvette Limited Edition",1:24,15.91,35.36,44,30.41
10104,5,"Classic Cars",S24_4048,"1992 Porsche Cayenne Turbo Silver",1:24,69.78,118.28,26,106.45
10104,11,"Trucks and Buses",S32_2509,"1954 Greyhound Scenicruiser",1:32,25.98,54.11,35,51.95
10104,4,Trains,S32_3207,"1950's Chicago Surface Lines Streetcar",1:32,26.72,62.14,49,56.55
10104,7,"Trucks and Buses",S50_1392,"Diamond T620 Semi-Skirted Tanker",1:50,68.29,115.75,33,114.59
10104,2,Trains,S50_1514,"1962 City of Detroit Streetcar",1:50,37.49,58.58,32,53.31
10105,2,"Classic Cars",S10_4757,"1972 Alfa Romeo GTA",1:10,85.68,136.00,50,127.84
10105,15,"Classic Cars",S12_1108,"2001 Ferrari Enzo",1:12,95.59,207.80,41,205.72
10105,14,"Classic Cars",S12_3891,"1969 Ford Falcon",1:12,83.05,173.02,29,141.88
10105,11,"Vintage Cars",S18_3140,"1903 Ford Model A",1:18,68.30,136.59,22,136.59
10105,13,Trains,S18_3259,"Collectable Wooden Train",1:18,67.56,100.84,38,87.73
10105,10,"Vintage Cars",S18_4522,"1904 Buick Runabout",1:18,52.66,87.77,41,75.48
10105,9,Ships,S24_2011,"18th century schooner",1:24,82.34,122.89,43,117.97
10105,4,"Vintage Cars",S24_3151,"1912 Ford Model T Delivery Wagon",1:24,46.91,88.51,44,73.46
10105,1,"Vintage Cars",S24_3816,"1940 Ford Delivery Sedan",1:24,48.64,83.86,50,75.47
10105,5,Ships,S700_1138,"The Schooner Bluenose",1:700,34.00,66.67,41,54.00
10105,12,Ships,S700_1938,"The Mayflower",1:700,43.30,86.61,29,86.61
10105,3,Ships,S700_2610,"The USS Constitution Ship",1:700,33.97,72.28,31,60.72
10105,6,Ships,S700_3505,"The Titanic",1:700,51.09,100.17,39,92.16
10105,7,Ships,S700_3962,"The Queen Mary",1:700,53.63,99.31,22,99.31
10105,8,Ships,S72_3212,"Pont Yacht",1:72,33.30,54.60,25,44.77
10106,1,Planes,S700_2834,"ATA: B757-300",1:700,59.33,118.65,32,113.90
10106,8,Planes,S700_3167,"F/A 18 Hornet 1/72",1:72,54.40,80.00,44,76.00
10106,10,Planes,S700_4002,"American Airlines: MD-11S",1:700,36.27,74.03,48,70.33
10106,15,Planes,S72_1253,"Boeing X-32A JSF",1:72,32.77,49.66,48,43.70
10106,12,Planes,S18_1662,"1980s Black Hawk Helicopter",1:18,77.27,157.69,36,134.04
10106,2,Planes,S18_2581,"P-51-D Mustang",1:72,49.00,84.48,34,81.10
10106,18,Ships,S18_3029,"1999 Yamaha Speed Boat",1:18,51.61,86.02,41,80.86
10106,17,"Vintage Cars",S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",1:18,64.58,105.87,41,94.22
10106,4,Planes,S24_1785,"1928 British Royal Navy Airplane",1:24,66.74,109.42,28,107.23
10106,13,Planes,S24_2841,"1900s Vintage Bi-Plane",1:24,34.25,68.51,49,65.77
