orderNumber,customerNumber,orderDate,requiredDate,shippedDate,orderStatus
10100,363,2003-01-06,2003-01-13,2003-01-10,Shipped
10101,128,2003-01-09,2003-01-18,2003-01-11,Shipped
10102,181,2003-01-10,2003-01-18,2003-01-14,Shipped
10103,121,2003-01-29,2003-02-07,2003-02-02,Shipped
10104,141,2003-01-31,2003-02-09,2003-02-01,Shipped
10105,145,2003-02-11,2003-02-21,2003-02-12,Shipped
10106,278,2003-02-17,2003-02-24,2003-02-21,Shipped
10107,131,2003-02-24,2003-03-03,2003-02-26,Shipped
10108,385,2003-03-03,2003-03-12,2003-03-08,Shipped
10109,486,2003-03-10,2003-03-19,2003-03-11,Shipped
10110,187,2003-03-18,2003-03-24,2003-03-20,Shipped
10111,129,2003-03-25,2003-03-31,2003-03-30,Shipped
10112,144,2003-03-24,2003-04-03,2003-03-29,Shipped
10113,124,2003-03-26,2003-04-02,2003-03-27,Shipped
10114,172,2003-04-01,2003-04-07,2003-04-02,Shipped
10115,424,2003-04-04,2003-04-12,2003-04-07,Shipped
10116,381,2003-04-11,2003-04-19,2003-04-13,Shipped
10117,148,2003-04-16,2003-04-24,2003-04-17,Shipped
10118,216,2003-04-21,2003-04-29,2003-04-26,Shipped
10119,382,2003-04-28,2003-05-05,2003-05-02,Shipped
10120,114,2003-04-29,2003-05-08,2003-05-01,Shipped
10121,353,2003-05-07,2003-05-13,2003-05-13,Shipped
10122,350,2003-05-08,2003-05-16,2003-05-13,Shipped
10123,103,2003-05-20,2003-05-29,2003-05-22,Shipped
10124,112,2003-05-21,2003-05-29,2003-05-25,Shipped
10125,114,2003-05-21,2003-05-27,2003-05-24,Shipped
10126,458,2003-05-28,2003-06-07,2003-06-02,Shipped
10127,151,2003-06-03,2003-06-09,2003-06-06,Shipped
10128,141,2003-06-06,2003-06-12,2003-06-11,Shipped
10129,324,2003-06-12,2003-06-18,2003-06-14,Shipped
10130,198,2003-06-16,2003-06-24,2003-06-21,Shipped
10131,447,2003-06-16,2003-06-25,2003-06-21,Shipped
10132,323,2003-06-25,2003-07-01,2003-06-28,Shipped
10133,141,2003-06-27,2003-07-04,2003-07-03,Shipped
10134,250,2003-07-01,2003-07-10,2003-07-05,Shipped
10135,124,2003-07-02,2003-07-12,2003-07-03,Shipped
10136,242,2003-07-04,2003-07-14,2003-07-06,Shipped
10137,353,2003-07-10,2003-07-20,2003-07-14,Shipped
10138,496,2003-07-07,2003-07-16,2003-07-13,Shipped
10139,282,2003-07-16,2003-07-23,2003-07-21,Shipped
10140,161,2003-07-24,2003-08-02,2003-07-30,Shipped
10141,334,2003-08-01,2003-08-09,2003-08-04,Shipped
10142,124,2003-08-08,2003-08-16,2003-08-13,Shipped
10143,320,2003-08-10,2003-08-18,2003-08-12,Shipped
10144,381,2003-08-13,2003-08-21,2003-08-14,Shipped
10145,205,2003-08-25,2003-09-02,2003-08-31,Shipped
10146,447,2003-09-03,2003-09-13,2003-09-06,Shipped
10147,379,2003-09-05,2003-09-12,2003-09-09,Shipped
10148,276,2003-09-11,2003-09-21,2003-09-15,Shipped
10149,487,2003-09-12,2003-09-18,2003-09-17,Shipped
10150,148,2003-09-19,2003-09-27,2003-09-21,Shipped
10151,311,2003-09-21,2003-09-30,2003-09-24,Shipped
10152,333,2003-09-25,2003-10-03,2003-10-01,Shipped
10153,141,2003-09-28,2003-10-05,2003-10-03,Shipped
10154,219,2003-10-02,2003-10-12,2003-10-08,Shipped
10155,186,2003-10-06,2003-10-13,2003-10-07,Shipped
10156,141,2003-10-08,2003-10-17,2003-10-11,Shipped
10157,473,2003-10-09,2003-10-15,2003-10-14,Shipped
10158,121,2003-10-10,2003-10-18,2003-10-15,Shipped
10159,321,2003-10-10,2003-10-19,2003-10-16,Shipped
10160,347,2003-10-11,2003-10-17,2003-10-17,Shipped
10161,227,2003-10-17,2003-10-25,2003-10-20,Shipped
10162,321,2003-10-18,2003-10-26,2003-10-19,Shipped
10163,424,2003-10-20,2003-10-27,2003-10-24,Shipped
10164,452,2003-10-21,2003-10-30,2003-10-23,Resolved
10165,148,2003-10-22,2003-10-31,2003-12-26,Shipped
10166,462,2003-10-21,2003-10-30,2003-10-27,Shipped
10167,448,2003-10-23,2003-10-30,NULL,Cancelled
10168,161,2003-10-28,2003-11-03,2003-11-01,Shipped
10169,276,2003-11-04,2003-11-14,2003-11-09,Shipped
10170,452,2003-11-04,2003-11-12,2003-11-07,Shipped
10171,233,2003-11-05,2003-11-13,2003-11-07,Shipped
10172,175,2003-11-05,2003-11-14,2003-11-11,Shipped
10173,278,2003-11-05,2003-11-15,2003-11-09,Shipped
10174,333,2003-11-06,2003-11-15,2003-11-10,Shipped
10175,324,2003-11-06,2003-11-14,2003-11-09,Shipped
10176,386,2003-11-06,2003-11-15,2003-11-12,Shipped
10177,344,2003-11-07,2003-11-17,2003-11-12,Shipped
10178,242,2003-11-08,2003-11-16,2003-11-10,Shipped
10179,496,2003-11-11,2003-11-17,2003-11-13,Cancelled
10180,171,2003-11-11,2003-11-19,2003-11-14,Shipped
10181,167,2003-11-12,2003-11-19,2003-11-15,Shipped
10182,124,2003-11-12,2003-11-21,2003-11-18,Shipped
10183,339,2003-11-13,2003-11-22,2003-11-15,Shipped
10184,484,2003-11-14,2003-11-22,2003-11-20,Shipped
10185,320,2003-11-14,2003-11-21,2003-11-20,Shipped
10186,489,2003-11-14,2003-11-20,2003-11-18,Shipped
10187,211,2003-11-15,2003-11-24,2003-11-16,Shipped
10188,167,2003-11-18,2003-11-26,2003-11-24,Shipped
10189,205,2003-11-18,2003-11-25,2003-11-24,Shipped
10190,141,2003-11-19,2003-11-29,2003-11-20,Shipped
10191,259,2003-11-20,2003-11-30,2003-11-24,Shipped
10192,363,2003-11-20,2003-11-29,2003-11-25,Shipped
10193,471,2003-11-21,2003-11-28,2003-11-27,Shipped
10194,146,2003-11-25,2003-12-02,2003-11-26,Shipped
10195,319,2003-11-25,2003-12-01,2003-11-28,Shipped
10196,455,2003-11-26,2003-12-03,2003-12-01,Shipped
10197,216,2003-11-26,2003-12-02,2003-12-01,Shipped
10198,385,2003-11-27,2003-12-06,2003-12-03,Shipped
10199,475,2003-12-01,2003-12-10,2003-12-06,Shipped
10200,211,2003-12-01,2003-12-09,2003-12-06,Shipped
